1,105,195,56,22,1,33,82,29,31,506,206,236,30,306000,1,62668
0,87,187,57,11,1,31,54,22,10,343,152,184,15,112000,1,28888
0,75,251,64,16,0,39,92,26,20,470,218,263,19,314000,1,27300
0,78,171,64,9,1,31,63,27,25,465,192,216,26,160000,1,27000
1,70,173,63,7,0,22,53,29,26,489,191,215,17,181000,1,25000
0,48,123,60,8,0,16,43,18,17,427,138,180,21,201000,1,20000
0,32,124,61,7,0,17,38,26,26,491,174,195,9,155000,1,8688
0,30,133,64,7,0,20,59,31,28,596,183,249,19,216000,1,7999
0,30,133,64,7,0,20,59,31,28,596,183,249,19,216000,1,7999
0,27,99,63,5,0,18,35,20,19,415,149,186,12,54000,1,7900
0,28,84,58,9,0,14,44,23,16,361,104,158,16,108000,1,7800
0,34,109,41,6,1,15,26,26,21,446,151,165,11,158000,1,7400
0,34,109,41,6,1,15,26,26,21,446,151,165,11,158000,1,7400
0,35,143,55,10,0,23,56,26,23,454,170,213,18,152000,1,7000
0,37,109,47,8,0,16,42,28,18,402,161,198,9,131000,1,6880
0,37,109,47,8,0,16,42,28,18,402,161,198,9,131000,1,6880
0,13,59,34,1,0,9,16,6,7,207,89,110,2,49000,1,3500
0,1,0,10,0,0,0,0,0,0,24,7,8,1,0,1,3500
0,18,71,47,1,0,14,36,21,3,328,141,141,6,107000,1,3500
0,13,45,38,2,0,8,12,3,5,230,67,89,6,58000,1,3500
0,4,4,14,0,0,4,0,0,0,31,0,9,1,6004,1,3500
0,15,59,19,3,0,9,16,22,8,282,119,113,9,16000,1,3500
0,9,12,16,0,0,3,4,1,1,89,29,34,4,10000,1,3500
0,26,108,43,8,0,22,56,26,15,333,132,160,9,131000,1,3389
0,15,71,50,2,0,10,36,14,22,357,118,156,3,24000,1,3380
0,13,77,52,4,0,6,28,18,12,298,121,121,10,59000,1,3370
0,3,15,17,3,0,6,5,1,2,82,39,47,2,25000,1,3333
0,3,15,17,3,0,6,5,1,2,82,39,47,2,25000,1,3333
0,17,68,45,6,0,11,38,12,18,350,113,154,13,30000,1,3300
0,17,68,45,6,0,11,38,12,18,350,113,154,13,30000,1,3300
0,9,45,38,2,0,4,14,4,1,172,79,84,1,25000,1,1088
0,8,61,21,4,0,7,30,17,17,251,96,120,11,18000,1,1075
0,4,21,27,0,0,3,12,1,3,203,71,74,5,10000,1,1050
0,4,21,27,0,0,3,12,1,3,203,71,74,5,10000,1,1050
0,8,21,40,5,0,3,16,4,7,211,57,92,9,8178,1,1050
0,7,35,30,1,0,2,17,4,0,201,71,89,6,12000,0,1050
0,10,25,28,0,0,1,8,1,2,90,50,56,1,5463,1,1040
0,7,30,34,2,0,3,8,11,3,198,74,111,5,14000,1,1033
0,6,57,37,1,0,7,19,21,7,266,98,123,5,25000,1,1000
0,2,18,25,1,0,3,5,6,2,115,48,46,2,19000,1,1000
0,5,10,13,2,0,2,7,0,2,82,39,43,0,18000,1,1000
0,1,0,11,0,0,1,0,0,1,13,0,3,0,0,1,1000
0,1,37,26,4,0,4,12,17,5,193,83,96,6,38000,1,1000
0,3,28,25,1,0,4,6,20,5,191,61,65,5,31000,1,999.99
0,5,15,34,0,0,4,5,11,2,77,30,40,2,25000,1,999
0,5,15,34,0,0,4,5,11,2,77,30,40,2,25000,1,999
0,4,34,33,0,0,3,7,11,1,210,76,95,5,11000,1,999
0,4,17,31,0,0,1,7,16,4,157,56,56,6,536,0,988
0,6,35,23,0,0,2,5,9,2,175,65,76,1,31000,1,980
0,9,40,33,1,0,4,6,2,0,154,54,75,3,15000,0,980
